"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL"
"Kyle","yes",1539,31264,64,129.712501819711,1409.28749818029,-44.0185276170563
"Kyle","randy",306,31264,1,25.7907898354981,280.209210164502,-45.2128818098035
"Kyle","children",780,31264,14,65.7412289924462,714.258771007554,-63.8365220492621
"Kyle","eric",879,31264,8,74.085308056872,804.914691943128,-101.841279525726
"Kyle","boys",934,31264,9,78.7209075371086,855.279092462891,-105.940595455995
"Kyle","kyle",1757,31264,32,148.086332486831,1608.91366751317,-142.302237837138
"Chef","children",780,5489,243,11.542144509325,768.457855490675,1095.96108287414
"Chef","flag",76,5489,22,1.1246192086009,74.8753807913991,95.5394717549568
"Chef","hello",763,5489,50,11.2905849495064,751.709415050494,73.4150252194108
"Chef","love",707,5489,42,10.4619181642215,696.538081835778,55.1278168212776
"Chef","fudge",50,5489,13,0.739881058290065,49.2601189417099,53.3430248738057
"Chef","make love",44,5489,11,0.651095331295257,43.3489046687047,44.1908029024567
"Chef","woman",200,5489,19,2.95952423316026,197.04047576684,39.9194036849674
"Chef","baby",257,5489,20,3.80298863961093,253.197011360389,35.0627298629496
"Chef","damn",309,5489,20,4.5724649402326,304.427535059767,28.9674998167785
"Chef","doctor",159,5489,14,2.35282176536241,156.647178234638,27.5303193029193
"Chef","doin",130,5489,12,1.92369075155417,128.076309248446,24.5976408543142
"Chef","hows",92,5489,10,1.36138114725372,90.6386188527463,23.4552815973103
"Chef","aliens",66,5489,8,0.976642996942885,65.0233570030571,20.3900004210997
"Chef","oh hello",66,5489,8,0.976642996942885,65.0233570030571,20.3900004210997
"Chef","lee",40,5489,6,0.591904846632052,39.4080951533679,17.7564965690572
"Chef","pip",102,5489,9,1.50935735891173,100.490642641088,17.7312182450533
"Chef","dammit",104,5489,9,1.53895260124333,102.461047398757,17.4251016039116
"Chef","weve got",217,5489,13,3.21108379297888,213.788916207021,17.2342441212201
"Chef","women",110,5489,9,1.62773832823814,108.372261671762,16.5493615268432
"Chef","racist",47,5489,6,0.695488194792661,46.3045118052073,15.8820869076446
