"Stan","Kyle","Chef","Mrs..Garrison","Cartman","Jimbo","Gerald","Mr..Mackey","Randy","Kenny","Butters","Stephen","Craig","Sheila","Announcer","Sharon","Wendy","Principal.Victoria","Jesus","Liane","Jimmy","Narrator","Reporter","Satan","Mr..Garrison","Michael","Mayor","All.others","word"
8,8,6,1,17,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,46,"ball"
8,30,8,5,122,5,0,0,5,2,10,0,1,0,0,1,0,0,0,0,1,1,0,0,6,0,0,82,"balls"
19,13,1,0,28,0,1,0,5,0,1,0,4,0,1,2,0,1,1,0,0,0,0,0,1,0,2,58,"band"
4,3,3,0,3,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,"bands"
3,5,0,1,7,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,47,"bar"
1,3,3,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,21,"barbra"
1,3,3,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,16,"barbra streisand"
5,6,0,0,6,3,0,2,0,1,0,1,0,0,1,3,1,0,0,1,1,0,0,0,4,0,8,39,"barbrady"
1,3,0,0,3,1,0,1,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,9,"barely"
3,5,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,"base"
3,1,1,0,6,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,17,"based"
2,3,0,0,4,0,1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,"basement"
2,24,1,1,3,3,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,5,0,0,27,"bastard"
3,33,3,0,2,2,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,40,"bastards"
7,8,2,0,33,0,3,5,8,1,6,0,0,0,0,1,3,9,0,0,0,0,0,0,2,0,0,20,"bathroom"
3,2,0,0,11,0,0,0,1,0,0,0,1,0,8,2,0,0,2,1,0,1,0,0,1,5,0,27,"battle"
4,1,1,0,15,1,2,0,2,0,3,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,58,"bear"
13,13,3,1,25,2,1,1,3,0,5,0,2,2,0,0,4,1,1,1,3,1,0,0,1,1,0,72,"beat"
2,2,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,"beating"
4,3,7,1,6,4,0,2,7,1,2,0,0,1,3,3,0,0,0,2,0,2,0,0,2,2,2,57,"beautiful"
9,8,0,3,18,0,0,3,0,0,4,0,1,0,0,0,24,0,0,0,0,0,0,0,3,0,0,37,"bebe"
2,2,1,1,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,15,"became"
17,15,1,1,26,0,0,2,7,2,3,2,2,1,2,3,0,3,0,0,2,2,2,1,2,0,1,81,"become"
1,0,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,17,"becomes"
2,1,0,0,5,0,0,0,2,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,16,"becoming"
9,3,1,1,13,0,2,0,2,2,4,2,1,3,0,8,0,0,1,3,0,0,0,0,2,0,0,33,"bed"
0,0,1,0,6,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,"bedroom"
4,0,0,0,0,6,0,0,11,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,15,"beer"
2,1,2,0,8,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,3,1,0,1,1,42,"begin"
2,5,1,1,5,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,16,"beginning"
0,0,1,0,1,0,0,9,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,16,"behavior"
7,17,0,1,15,1,0,2,5,0,4,1,0,0,5,0,1,0,1,0,0,6,1,0,0,0,0,60,"behind"
1,2,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,10,"behold"
50,61,3,5,105,1,7,5,29,1,19,5,3,3,2,6,9,3,5,3,4,5,4,1,2,2,1,238,"believe"
2,3,0,0,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,13,"besides"
55,30,0,1,73,4,4,9,22,3,17,2,0,4,8,3,0,0,11,7,10,10,0,1,4,2,5,155,"best"
17,6,0,0,16,1,0,0,0,2,6,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,7,"best friend"
8,5,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,1,5,0,0,0,0,0,13,"best friends"
12,21,2,0,23,7,2,0,6,0,6,0,0,1,0,4,1,0,3,0,3,0,0,1,5,1,0,44,"bet"
70,67,12,4,111,5,8,8,27,1,22,4,3,7,4,7,5,4,1,4,10,3,0,3,20,0,5,272,"better"
5,5,1,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,14,"better get"
1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,6,"better now"
6,3,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,"bible"
85,58,15,3,95,4,7,9,26,4,18,2,0,1,2,4,6,0,2,4,6,0,2,2,9,1,3,283,"big"
9,7,3,0,9,2,1,1,3,0,2,0,1,0,0,1,0,1,0,0,2,0,1,0,0,2,1,37,"bigger"
8,4,0,0,10,2,2,0,6,1,4,1,0,0,3,2,2,0,0,0,1,2,0,0,1,1,0,50,"biggest"
2,0,0,0,1,1,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,"biggest crap"
4,6,0,1,17,0,1,0,1,0,2,0,0,2,2,0,0,0,0,2,0,0,1,0,0,0,0,53,"bill"
1,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6,"billion"
1,1,0,1,17,0,0,3,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,69,"billy"
4,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,4,4,0,0,0,0,0,13,"birth"
10,7,0,0,26,0,0,0,3,0,2,0,5,0,0,0,0,0,2,1,1,0,0,0,3,0,0,19,"birthday"
11,2,4,1,22,0,3,3,14,1,2,0,0,0,0,1,0,1,0,3,3,0,0,0,0,1,0,54,"bit"
27,24,1,0,142,2,2,1,3,2,22,1,2,3,0,1,1,1,0,0,3,0,0,1,6,0,1,142,"bitch"
0,1,0,0,13,0,0,0,2,0,10,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,14,"bitches"
